sourceFilename,examRank,questionNumber,page,classificationStatus,primaryTopicId,primarySubtopicId,confidence,matchedTerms,outOfScopeMatches,style,stemExcerpt,questionHash
analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,4,53,11,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-codificacao,0.6,Estruturas de dados,,DIRECT_KNOWLEDGE,"O analista Anderson foi incumbido de introduzir o suporte a paralelismo na aplicação Java NetTRF. Conforme documentação do Java Development Kit usado na NetTRF, Anderson pode implementar threads virtuais ou threads de plataforma. Enquanto um tipo de thread é escalonado diretamente pelo sistema operacional (SO), o outro",3dde0fe6e26999cd2f54b7010de19a766b802bc3c999942079eeb2dad55b475f
analista_legislativo_desenvolvedor_de_sistemas.pdf,3,34,11,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.64,Java/JakartaEE,,CODE_TRACE,"Analise o script Java a seguir. Ao executar o script acima, a saída no console será (A) JEE v8 & JDK 17: 5. (B) JEE v8 & JDK 17: 3. (C) JEE v8 & JDK 17: 8. (D) JEE v8 & JDK 17. (E) Erro de compilação.",b2907857bb5073fc63404640e91d384909f50c25adf44c55298824df0ca7e981
analista_em_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,7,39,8,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.64,DOM,,DIRECT_KNOWLEDGE,"Considere o comando JavaScript a seguir. document.getElementById('demo').innerHTML = Date() Numa página web na qual esse código seja aplicado, o elemento que é compatível com a estrutura do comando para receber a data corrente é: (A) <p ""demo"">H</p> (B) <p class=""demo"">H</p> (C) <p id=""demo"">H</p> (D) <p js=""demo"">H</p",bf134938f5ba20f6c16f6c080e7fb8701f44650dd50713f4a9be96a934cdab54
analista_cvm_perfil_8_ti_sistemas_e_desenvolvimento_tarde.pdf,10,14,5,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-codificacao,0.64,Estruturas de dados,,CODE_TRACE,"A analista Camila executou o seguinte script em JavaScript: const map1 = new WeakMap(); const e1 = {}; map1.set(e1, e1); console.log(map1.get(e1)) Logo após, Camila executou outro script em JavaScript: const map2 = new WeakMap(); const e2 = ""dois""; map2.set(e2, e2); console.log(map2.get(e2)) O interpretador JavaScript ",56c7527ad50a06548a12725ee6fd250391900e1964a8c8303f65ff2b43a40908
DPERS - analista_area_de_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,11,63,14,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.64,Java/JakartaEE,,DIRECT_KNOWLEDGE,"O uso de Portlets simplifica a construção de portais com base na tecnologia Java Web, tratando as divisões do portal como aplicativos independentes e interoperáveis, que podem ser organizados hierarquicamente. A versão 3 da API permite a utilização de anotações, sendo correto afirmar que: (A) eventos são definidos pela",e1c8af39b0311fc3dea0c356992e484da64e4e9e7c83da67d7260435ebfd2e46
analista_judiciario_analise_de_sistemas (1).pdf,15,27,8,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.64,Java/JakartaEE,,CODE_TRACE,Analise o código Java a seguir. import java.util.Arrays; class xSort { void xsort(int array[]) { int size = array.length; for (int step = 1; step < size; step++) { int key = array[step]; int j = step - 1; while (j >= 0 && key < array[j]) { array[j + 1] = array[j]; --j; } array[j + 1] = key; System.out.println(Arrays.to,b24a8341e0e44c2630f9ef4805f286b1a92e7ae6414e32e2e7add79b73c34f4b
analista_legislativo_desenvolvedor_de_sistemas.pdf,3,41,13,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-arquitetura-software,0.645,API/interoperabilidade; Web services,,DIRECT_KNOWLEDGE,"Pensando em uma implementação comum da API REST, assinale a opção que indica o principal princípio associado ao seu estilo arquitetural. (A) Comunicação bidirecional entre clientes e servidores. (B) Transferência de representações de recursos por meio de operações padrão (como GET, POST, PUT e DELETE). (C) Transferênci",1435f41449bcb30c88ebf96a72539fdc3e882b191f369d69e7c9b9d3d4dd42de
analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,5,73,17,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-arquitetura-software,0.65,Web services,,DIRECT_KNOWLEDGE,"A analista Joelma está desenvolvendo o web service tjapRest utilizando o Spring Boot. Determinadas operações de tjapRest devem ser executadas assincronamente. Para implementar as operações assíncronas de forma simples e direta, Joelma recorreu a duas anotações padrões do Spring. A primeira anotação habilita o suporte d",dce833ea65b4fb2f3e6cc1e63f5f8893f18ce81b3b2f23757633e7978c5730b0
analista_cvm_perfil_8_ti_sistemas_e_desenvolvimento_tarde.pdf,10,34,9,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.65,HTML/CSS/Ajax,,CODE_TRACE,"Ao configurar o design de uma página, Roberto usou o código CSS a seguir, em uma tag style, fazendo com que um menu de navegação lateral fique ao lado da área de conteúdo. aside {float: left; width: 30%} main {float: left; width: 70%} O resultado em tablets e desktops foi bom, mas o acesso pelo celular apresentou algun",1c6ec88e12ce22b389dbee9ad4406c1dd4af81ec2e82d9247b0aaeb204021c3e
analista_judiciario_analise_de_sistemas (1).pdf,15,34,9,AUTO_CLASSIFIED_REVIEW_REQUIRED,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-arquitetura-software,0.65,Web services,,DIRECT_KNOWLEDGE,"O analista de sistemas Bravo desenvolveu o webservice TJService para o TJDFT sem mecanismos de controle de segurança. A comunicação de TJService ocorre conforme especificações do protocolo SOAP (Simple Object Access Protocol). A fim de proteger a troca de mensagens de TJService, Bravo foi orientado pelo TJDFT a impleme",ef69321a1d675a415a757d71ca3e2ee88b52640d571148da6df527b2430cfedd
