sourceFilename,examRank,questionNumber,page,classificationStatus,primaryTopicId,primarySubtopicId,confidence,matchedTerms,outOfScopeMatches,crossWaveDuplicate,style,stemExcerpt,questionHash
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,20,6,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-bi,dp26-p3-esp-bi-dw-mining,0.99,Data mining,,False,DIRECT_KNOWLEDGE,"A Mineração de Dados é a etapa do processo de KDD (Knowledge Discovery in Databases) responsável por extrair modelos de conhecimento a partir dos dados disponíveis. Após a construção desses modelos, é fundamental avaliar sua qualidade, o que exige compará-los com dados específicos para mensurar métricas que reflitam se",c453526ed5ebbd955808204f57d9fef1317a80cdcedb3f84e14087ac40da46d0
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,29,8,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-leg-lai,dp26-p3-leg-lai-capitulos,0.99,LAI,,False,SCENARIO,"O Tribunal de Contas do Estado de Pernambuco tomou ciência, por meio de denúncia anônima, de que órgãos públicos e entidades da Administração Indireta do Município Alfa estariam dificultando o acesso a informações de interesse público por parte da sociedade civil. Desta forma, a Corte de Contas adotou as medidas necess",03c3e2c97786c99ad81ed7d745e111b5ba6db8d18856904dc691d270d3f7a7cb
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,47,13,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-seguranca,dp26-p3-esp-si-iso,0.99,ISO 27001/27002,,False,CONCEPT_COMPARISON,A analista Maria foi incumbida de implementar no TCE-PE um controle previsto na norma ISO/IEC 27002:2022 (trata-se do controle organizacional de contato com as autoridades). Esse controle visa garantir que haja um fluxo adequado de informações em relação à segurança da informação entre a organização e as autoridades le,1cade69d45fc21acd62438541db4c01cf34ae4b21a7dcc858e05ed29e2dbae88
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,48,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-seguranca,dp26-p3-esp-si-iso,0.99,ISO 27001/27002,,False,DIRECT_KNOWLEDGE,"A norma ISO/IEC 27001 define diversos tipos de controles de segurança da informação, cujas diretrizes são detalhadas na ISO/IEC 27002. No contexto de uma avaliação realizada no TCE-PE, o analista Jorge está avaliando a implementação de controles tecnológicos no TCE-PE. Com base nesse cenário, assinale a opção que apres",1dc2d5e95320806f1a25da8b319be08f78bea97136775151b6e7dd0fe9cacea7
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,50,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gov-cobit,0.99,COBIT 2019,,False,DIRECT_KNOWLEDGE,"O COBIT 2019 traz uma série de categoria de indicadores para apoiar o monitoramento e a avaliação da TI, entre eles o chamado KGI. Um KGI consiste em: (A) tempo médio de resolução de incidentes. (B) percentual de projetos entregues no prazo. (C) percentual de disponibilidade de sistemas críticos. (D) aumento da receita",9814b4245e270ff01ae1929f65f1e1ef0d9bc02cbb3190ac1eff58f494ea735e
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,52,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gov-bpmn,0.99,BPMN,,False,DIRECT_KNOWLEDGE,"Um Tribunal de Contas adotou a notação BPMN para modelar seus processos e utiliza uma plataforma BPMS para automatizar fluxos críticos. Um dos processos automatizados refere-se à análise e concessão de prazos para defesa de jurisdicionados, e inclui os seguintes elementos: • uma tarefa manual em que o analista jurídico",727d644f4df2c6bb819a2ed617e40f2fa214cd4f364c84c4851899b9c2ffd3e0
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,56,15,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-seguranca,dp26-p3-esp-si-acesso,0.99,Acesso/autenticação; Mecanismo de segurança,,False,ASSERTION_SET,"Para proteger dados sensíveis contra acessos não autorizados utilizam-se mecanismos de autenticação, criptografia e certificação digital, entre outras técnicas. Com relação à segurança da informação, analise as afirmativas a seguir. I. A autenticação multifator eleva a segurança de sistemas ao exigir a combinação de do",50e40b313c60b6cf574b2a3284bb035b8d87f96ee4822a205247f83f404f98c3
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,57,15,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd-capitulos,0.99,LGPD,,False,ASSERTION_SET,"Considerando as disposições da Lei Geral de Proteção de Dados Pessoais (LGPD), especialmente no que se refere à segurança da informação e às boas práticas adotadas no tratamento de dados pessoais, analise as afirmativas a seguir. I. Os agentes de tratamento devem assegurar a proteção dos dados pessoais desde a concepçã",5e44b51b2a3fc170131f4ee8d893c705884ac7950fb55213f6940577d044df1c
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,60,16,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd-capitulos,0.92,LGPD,,False,DIRECT_KNOWLEDGE,"O TCE-PE pretende implantar uma solução de edge computing com virtualização em dispositivos de borda, como parte de sua estratégia de modernização da infraestrutura e aproximação do processamento aos pontos de coleta de dados. Essa abordagem, embora traga ganhos em desempenho e autonomia operacional, exige cuidados adi",33e654be6302e5ba8ac8f0313b6610b52bdd1c9b9a75cb3dcf4b455d32299dd1
TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,16,61,16,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-metodologias-ageis,0.99,Kanban; Scrum,,False,ASSERTION_SET,"Em relação aos principais conceitos de metodologias de gerenciamento de projetos, analise as afirmativas a seguir. I. Scrum é adequado quando se deseja um processo iterativo, com entregas parciais e reuniões frequentes de alinhamento. II. O Kanban exige definição prévia do escopo completo antes do início das atividades",21a581fd00e17e89c9216b33a984c1e46164165a77608d902990e6c6ea4b058f
