wave,curationPriorityBand,examRank,examTier,sourceFilename,questionNumber,page,primaryTopicId,primarySubtopicId,confidence,matchedTerms,style,stemExcerpt,questionHash,reviewDecision,reviewNote
wave1,P1_PRIMARY,1,A1 - referência primária,analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,22,6,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-mobile-lowcode,0.89,Mobile,DIRECT_KNOWLEDGE,"In the excerpt “In this work we use AppEco to simulate Apple's iOS app ecosystem and investigate common developer strategies, evaluating them in terms of downloads received, app diversity, and adoption rate. Choose the correct option according to TEXT. (A) The word rate means a measure and it’s a discourse marker. (B) ",7bb0e731cc370a0acddef3c5beea7c539d5351c391469b3309df10985c9674a4,PENDING,
wave1,P1_PRIMARY,2,A2 - muito alta,auditor_de_controle_externo_informatica_analista_de_sistemas.pdf,35,10,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gov-projetos,0.98,Projetos,DIRECT_KNOWLEDGE,"Segundo o Guia PMBOK 7ª edição, um domínio de desempenho do projeto é um grupo de atividades relacionadas, que são críticas para a entrega eficaz dos resultados do projeto. São áreas de foco interativas, inter-relacionadas e interdependentes, que trabalham em coesão para alcançar os resultados do projeto. Nesse context",44096b68ee067853a5c3abd892a36e8eca19bf421dd8bb510d11932ea90daa97,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,50,14,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-propriedades,0.98,Propriedades/transações,DIRECT_KNOWLEDGE,"No contexto de processamento de transações em sistemas de bancos de dados relacionais, definimos uma escala (ou schedule) concorrente a uma execução intercalada das operações (ou instruções) das transações envolvidas na escala. Da mesma maneira, uma execução serial é aquela na qual todas as operações de uma transação s",a70d2e5b001483ceed08daf25a06f81d97576ebff1787436345332aae54be854,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,54,15,dp26-p3-esp-bi,dp26-p3-esp-bi-dw-etl-olap,0.98,ETL/OLAP,DIRECT_KNOWLEDGE,"Os sistemas OLAP, com vistas a auxiliar o processo de tomada de decisão, geralmente oferecem um conjunto de operações pré- programadas. A operação que consiste em níveis cada vez maiores de detalhamento na análise de uma determinada dimensão é conhecida como (A) drill-down. (B) pivoting. (C) rolap. (D) slice e dice. (E",4720926057fe22eb10748071eac9e80396e677e10ac293aa9b5858fb1e50dcc8,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,67,22,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-integridade,0.98,Integridade,DIRECT_KNOWLEDGE,"Considere o esquema de banco de dados relacional a seguir: LOCALIDADE ( id_loc <PK>, nome_localidade, cidade, estado ) COORDENADOR ( id_coord <PK>, nome_coord, id_loc <FK> ) Restrições de integridade: Tabela LOCALIDADE: id_loc é chave primária; nome_localidade  NULO; cidade  NULO; estado = {‘PR’ ou ‘SC’ ou ‘RS’}. Tab",93f95c566cacf755e3c75fadb7cb3e7ded083ec0840ec08855d50641261d974c,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,62,20,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-relacional-multidimensional,0.91,Relacional/multidimensional,DIRECT_KNOWLEDGE,"Seja o atributo “identificacao” aquele que necessita, para implementar a semântica do caso, a demanda de não permissão de valores repetidos – ou seja, somente aceita valores únicos. No contexto do modelo relacional de banco de dados, ele é considerado um(a) (A) atributo alternativo. (B) atributo multivalorado. (C) chav",5144e853d8c927c1d504ea18f22d2eafdd6a584bde5b115dc6a1c2f032081dd4,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,64,21,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-integridade,0.91,Integridade,DIRECT_KNOWLEDGE,"Considerando a abordagem de mapeamento objeto-relacional (ORM), seja o mapeamento da classe “Parlamentar” realizado da forma que segue: Parlamentar ( {cod_parlamentar} <PK>, nome, partido, email, telefone, endereco, data_nascimento, naturalidade, foto ) A fim de manter, no modelo lógico de banco de dados relacional, a ",5202dcc0beb9edd4d95931c6895d0a4d3282f3773191114fc1b5ad2fc230b87b,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,70,23,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-relacional-multidimensional,0.9,Relacional/multidimensional,DIRECT_KNOWLEDGE,"Seja o modelo multidimensional representado a seguir, refletindo uma dinâmica de vendas de produtos por vendedores e por região. Considere que I. os campos indicados como <PK> são os identificadores de suas respectivas tabelas; II. na tabela “Vendas”, o atributo “cod_vendedor” referencia o identificador cod_vendedor da",771d22d0412631052729ac8804237b86ce1ce9e69cc464c9943beb271021222a,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,42,13,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.89,HTML/CSS/Ajax,DIRECT_KNOWLEDGE,"O Box Model CSS é essencialmente uma caixa que envolve cada elemento HTML. Ele é formado por (A) height, width, border e padding. (B) width, border, padding e margin. (C) content, padding, borders e margins. (D) height, border, content e margin. (E) height, width, border e content.",13cf9471388c932645abb262cdd1b33baf0a5426496111dd072b85704c104480,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,52,14,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-integracao-ingestao,0.89,Integração/ingestão,CONCEPT_COMPARISON,O processo de integração de dados demanda um conjunto de ações envolvendo tarefas no contexto do que usualmente se chama “limpeza de dados” (ou data cleansing). E um dos desafios enfrentados nesse processo é a forma pela qual serão tratados os dados ausentes. A ausência de um dado atende a um mecanismo específico. O me,cdeec5bec571cdaa35bb5b230237dac2971ed9cabce72d13eb761e34a3ca1653,PENDING,
