ordinal,id_plataforma,classe_aderencia,paginas_usadas,resultado,modo_alternativas,enunciado_recuperado_caracteres,alternativas_textuais,alternativas_visuais,arquivo_questao,apta_estudo_antes,apta_estudo_depois,potencial_simulado_antes,potencial_simulado_depois,gabarito_origem,motivo_remanescente
2,4000870759,ADERENTE_PARCIAL,1,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,92,0,5,assets/questoes/Q0002.png,não,sim,não,sim,plataforma secundária,
25,4001335492,ADERENTE_DIRETA,10,RECUPERADA_INTEGRALMENTE,texto,68,5,0,assets/questoes/Q0025.png,não,sim,não,sim,plataforma secundária,
29,4001379310,ADERENTE_PARCIAL,11,RECUPERADA_INTEGRALMENTE,texto,166,5,0,assets/questoes/Q0029.png,não,sim,não,sim,plataforma secundária,
33,4001379436,ADERENTE_DIRETA,"12,13",RECUPERADA_INTEGRALMENTE,texto,694,5,0,assets/questoes/Q0033.png,não,sim,não,sim,plataforma secundária,
49,4001427982,ADERENTE_DIRETA,18,RECUPERADA_INTEGRALMENTE,texto,438,5,0,assets/questoes/Q0049.png,não,sim,não,sim,plataforma secundária,
58,4001574599,ADERENTE_DIRETA,22,RECUPERADA_INTEGRALMENTE,texto,156,5,0,assets/questoes/Q0058.png,não,sim,não,sim,plataforma secundária,
61,4001574632,ADERENTE_DIRETA,23,RECUPERADA_INTEGRALMENTE,texto,252,5,0,assets/questoes/Q0061.png,não,sim,não,sim,plataforma secundária,
70,4001580959,ADERENTE_DIRETA,27,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,893,0,5,assets/questoes/Q0070.png,não,sim,não,sim,plataforma secundária,
86,4001628349,ADERENTE_DIRETA,34,RECUPERADA_INTEGRALMENTE,texto,493,5,0,assets/questoes/Q0086.png,não,sim,não,sim,plataforma secundária,
90,4001628520,ADERENTE_PARCIAL,35,RECUPERADA_INTEGRALMENTE,texto,358,5,0,assets/questoes/Q0090.png,não,sim,não,sim,plataforma secundária,
95,4001629088,ADERENTE_DIRETA,37,RECUPERADA_INTEGRALMENTE,texto,498,5,0,assets/questoes/Q0095.png,não,sim,não,sim,plataforma secundária,
126,4001787993,ADERENTE_DIRETA,49,RECUPERADA_INTEGRALMENTE,texto,352,5,0,assets/questoes/Q0126.png,não,sim,não,sim,plataforma secundária,
133,4001857630,ADERENTE_DIRETA,52,RECUPERADA_INTEGRALMENTE,texto,626,5,0,assets/questoes/Q0133.png,não,sim,não,sim,plataforma secundária,
134,4001857633,ADERENTE_DIRETA,52,RECUPERADA_INTEGRALMENTE,texto,907,5,0,assets/questoes/Q0134.png,não,sim,não,sim,plataforma secundária,
167,4001624683,ADERENTE_PARCIAL,63,RECUPERADA_INTEGRALMENTE,texto,1473,5,0,assets/questoes/Q0167.png,não,sim,não,sim,plataforma secundária,
168,4002009589,ADERENTE_PARCIAL,"63,64",RECUPERADA_INTEGRALMENTE,texto,520,5,0,assets/questoes/Q0168.png,não,sim,não,sim,plataforma secundária,
174,4002424762,ADERENTE_DIRETA,65,RECUPERADA_INTEGRALMENTE,texto,679,5,0,assets/questoes/Q0174.png,não,sim,não,sim,plataforma secundária,
185,4001784157,ADERENTE_DIRETA,69,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,534,0,5,assets/questoes/Q0185.png,não,sim,não,sim,plataforma secundária,
198,4001516227,ADERENTE_DIRETA,"73,74",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,1303,0,4,assets/questoes/Q0198.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
212,4002467214,ADERENTE_DIRETA,78,RECUPERADA_INTEGRALMENTE,texto,616,5,0,assets/questoes/Q0212.png,não,sim,não,sim,plataforma secundária,
215,4001424643,ADERENTE_DIRETA,79,RECUPERADA_INTEGRALMENTE,texto,589,5,0,assets/questoes/Q0215.png,não,sim,não,sim,plataforma secundária,
220,4002379581,ADERENTE_DIRETA,"80,81",RECUPERADA_INTEGRALMENTE,texto,746,5,0,assets/questoes/Q0220.png,não,sim,não,sim,plataforma secundária,
225,4002111743,ADERENTE_DIRETA,"82,83",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,644,0,5,assets/questoes/Q0225.png,não,sim,não,sim,plataforma secundária,
226,4002111744,ADERENTE_DIRETA,83,RECUPERADA_INTEGRALMENTE,texto,513,5,0,assets/questoes/Q0226.png,não,sim,não,sim,plataforma secundária,
236,4001628799,ADERENTE_DIRETA,86,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,630,0,4,assets/questoes/Q0236.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
244,4002020414,ADERENTE_DIRETA,90,RECUPERADA_INTEGRALMENTE,texto,435,5,0,assets/questoes/Q0244.png,não,sim,não,sim,plataforma secundária,
245,4001032204,ADERENTE_DIRETA,"90,91",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,523,0,5,assets/questoes/Q0245.png,não,sim,não,sim,plataforma secundária,
250,4001068088,ADERENTE_DIRETA,93,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,858,0,5,assets/questoes/Q0250.png,não,sim,não,sim,plataforma secundária,
259,4001073090,ADERENTE_DIRETA,"97,98",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,427,0,5,assets/questoes/Q0259.png,não,sim,não,sim,plataforma secundária,
267,4001222066,ADERENTE_DIRETA,"101,102",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,680,0,5,assets/questoes/Q0267.png,não,sim,não,sim,plataforma secundária,
269,4001245739,ADERENTE_DIRETA,103,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,680,0,5,assets/questoes/Q0269.png,não,sim,não,sim,plataforma secundária,
271,4001245774,ADERENTE_DIRETA,"103,104",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,382,0,5,assets/questoes/Q0271.png,não,sim,não,sim,plataforma secundária,
278,4001336420,ADERENTE_DIRETA,"106,107",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,676,0,5,assets/questoes/Q0278.png,não,sim,não,sim,plataforma secundária,
293,4001427988,ADERENTE_DIRETA,"112,113",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,297,0,5,assets/questoes/Q0293.png,não,sim,não,sim,plataforma secundária,
318,4001730199,ADERENTE_DIRETA,124,RECUPERADA_INTEGRALMENTE,texto,442,5,0,assets/questoes/Q0318.png,não,sim,não,sim,plataforma secundária,
322,4001849465,ADERENTE_DIRETA,"125,126",RECUPERADA_INTEGRALMENTE,texto,413,5,0,assets/questoes/Q0322.png,não,sim,não,sim,plataforma secundária,
332,4001851015,ADERENTE_DIRETA,131,RECUPERADA_INTEGRALMENTE,texto,375,5,0,assets/questoes/Q0332.png,não,sim,não,sim,plataforma secundária,
344,4001888292,ADERENTE_DIRETA,"137,138",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,909,0,5,assets/questoes/Q0344.png,não,sim,não,sim,plataforma secundária,
348,4000991097,ADERENTE_DIRETA,"141,142",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,985,0,5,assets/questoes/Q0348.png,não,sim,não,sim,plataforma secundária,
